"detection_threshold","PF_est","PD_est","case"
-3,1,1,"A = zero_point_five"
-2.95,1,1,"A = zero_point_five"
-2.9,1,1,"A = zero_point_five"
-2.85,1,1,"A = zero_point_five"
-2.8,1,1,"A = zero_point_five"
-2.75,1,1,"A = zero_point_five"
-2.7,1,1,"A = zero_point_five"
-2.65,1,1,"A = zero_point_five"
-2.6,1,1,"A = zero_point_five"
-2.55,1,1,"A = zero_point_five"
-2.5,1,1,"A = zero_point_five"
-2.45,1,1,"A = zero_point_five"
-2.4,1,1,"A = zero_point_five"
-2.35,1,1,"A = zero_point_five"
-2.3,1,1,"A = zero_point_five"
-2.25,1,1,"A = zero_point_five"
-2.2,1,1,"A = zero_point_five"
-2.15,1,1,"A = zero_point_five"
-2.1,1,1,"A = zero_point_five"
-2.05,1,1,"A = zero_point_five"
-2,1,1,"A = zero_point_five"
-1.95,1,1,"A = zero_point_five"
-1.9,1,1,"A = zero_point_five"
-1.85,1,1,"A = zero_point_five"
-1.8,1,1,"A = zero_point_five"
-1.75,1,1,"A = zero_point_five"
-1.7,1,1,"A = zero_point_five"
-1.65,1,1,"A = zero_point_five"
-1.6,1,1,"A = zero_point_five"
-1.55,1,1,"A = zero_point_five"
-1.5,1,1,"A = zero_point_five"
-1.45,1,1,"A = zero_point_five"
-1.4,1,1,"A = zero_point_five"
-1.35,1,1,"A = zero_point_five"
-1.3,1,1,"A = zero_point_five"
-1.25,1,1,"A = zero_point_five"
-1.2,0.9999,1,"A = zero_point_five"
-1.15,0.9999,1,"A = zero_point_five"
-1.1,0.9998,1,"A = zero_point_five"
-1.05,0.9996,1,"A = zero_point_five"
-1,0.9992,1,"A = zero_point_five"
-0.95,0.9987,1,"A = zero_point_five"
-0.9,0.9977,1,"A = zero_point_five"
-0.85,0.996,1,"A = zero_point_five"
-0.8,0.9934,1,"A = zero_point_five"
-0.75,0.9908,0.9999,"A = zero_point_five"
-0.7,0.9866,0.9999,"A = zero_point_five"
-0.65,0.9807,0.9999,"A = zero_point_five"
-0.6,0.9726,0.9998,"A = zero_point_five"
-0.55,0.9597,0.9993,"A = zero_point_five"
-0.5,0.9442,0.9991,"A = zero_point_five"
-0.45,0.9246,0.9988,"A = zero_point_five"
-0.4,0.8974,0.9982,"A = zero_point_five"
-0.35,0.8687,0.9971,"A = zero_point_five"
-0.3,0.8336,0.9949,"A = zero_point_five"
-0.25,0.7899,0.9911,"A = zero_point_five"
-0.2,0.7381,0.9866,"A = zero_point_five"
-0.15,0.6834,0.9796,"A = zero_point_five"
-0.0999999999999996,0.6259,0.971,"A = zero_point_five"
-0.0499999999999998,0.5656,0.9575,"A = zero_point_five"
0,0.5005,0.9392,"A = zero_point_five"
0.0500000000000003,0.4359,0.9195,"A = zero_point_five"
0.1,0.377,0.8931,"A = zero_point_five"
0.15,0.3246,0.863,"A = zero_point_five"
0.2,0.2674,0.8227,"A = zero_point_five"
0.25,0.2192,0.7825,"A = zero_point_five"
0.3,0.1752,0.7385,"A = zero_point_five"
0.35,0.1349,0.6858,"A = zero_point_five"
0.4,0.1025,0.6249,"A = zero_point_five"
0.45,0.0772,0.5629,"A = zero_point_five"
0.5,0.0581,0.4977,"A = zero_point_five"
0.55,0.043,0.4352,"A = zero_point_five"
0.6,0.0306,0.379,"A = zero_point_five"
0.65,0.0215,0.3231,"A = zero_point_five"
0.7,0.0144,0.2707,"A = zero_point_five"
0.75,0.009,0.2226,"A = zero_point_five"
0.8,0.0062,0.1811,"A = zero_point_five"
0.85,0.0043,0.1427,"A = zero_point_five"
0.9,0.0026,0.1091,"A = zero_point_five"
0.95,0.0017,0.0828,"A = zero_point_five"
1,0.0012,0.062,"A = zero_point_five"
1.05,8e-04,0.0454,"A = zero_point_five"
1.1,5e-04,0.0301,"A = zero_point_five"
1.15,3e-04,0.0206,"A = zero_point_five"
1.2,1e-04,0.0145,"A = zero_point_five"
1.25,1e-04,0.0097,"A = zero_point_five"
1.3,1e-04,0.0062,"A = zero_point_five"
1.35,0,0.004,"A = zero_point_five"
1.4,0,0.0029,"A = zero_point_five"
1.45,0,0.0019,"A = zero_point_five"
1.5,0,0.001,"A = zero_point_five"
1.55,0,7e-04,"A = zero_point_five"
1.6,0,4e-04,"A = zero_point_five"
1.65,0,0,"A = zero_point_five"
1.7,0,0,"A = zero_point_five"
1.75,0,0,"A = zero_point_five"
1.8,0,0,"A = zero_point_five"
1.85,0,0,"A = zero_point_five"
1.9,0,0,"A = zero_point_five"
1.95,0,0,"A = zero_point_five"
2,0,0,"A = zero_point_five"
2.05,0,0,"A = zero_point_five"
2.1,0,0,"A = zero_point_five"
2.15,0,0,"A = zero_point_five"
2.2,0,0,"A = zero_point_five"
2.25,0,0,"A = zero_point_five"
2.3,0,0,"A = zero_point_five"
2.35,0,0,"A = zero_point_five"
2.4,0,0,"A = zero_point_five"
2.45,0,0,"A = zero_point_five"
2.5,0,0,"A = zero_point_five"
2.55,0,0,"A = zero_point_five"
2.6,0,0,"A = zero_point_five"
2.65,0,0,"A = zero_point_five"
2.7,0,0,"A = zero_point_five"
2.75,0,0,"A = zero_point_five"
2.8,0,0,"A = zero_point_five"
2.85,0,0,"A = zero_point_five"
2.9,0,0,"A = zero_point_five"
2.95,0,0,"A = zero_point_five"
3,0,0,"A = zero_point_five"
